id,ad,porsiyon_adi,gram,kalori,protein,karb,yag
tavuk-doner,Tavuk Döner,1 porsiyon,200,300,28.0,4.0,19.0
izgara-kofte,Izgara Köfte,1 porsiyon,200,380,26.0,6.0,28.0
sulu-kofte,Sulu Köfte,1 porsiyon,300,300,20.0,22.0,14.0
dana-rosto,Dana Rosto,1 porsiyon,250,360,34.0,8.0,22.0
etli-nohut-pilav,Etli Nohutlu Pilav,1 porsiyon,350,480,22.0,60.0,16.0
kadinbudu-kofte,Kadınbudu Köfte,2 adet,180,340,20.0,18.0,20.0
icli-kofte,İçli Köfte,1 adet,120,280,10.0,26.0,15.0
etli-lahana-sarma,Etli Lahana Sarma,1 porsiyon,300,290,14.0,28.0,14.0
etli-biber-dolma,Etli Biber Dolma,2 adet,240,300,13.0,26.0,16.0
etli-kabak-dolma,Etli Kabak Dolma,2 adet,240,270,12.0,24.0,14.0
patlican-kebabi,Patlıcan Kebabı,1 porsiyon,300,400,24.0,16.0,26.0
kuzu-tandir,Kuzu Tandır,1 porsiyon,250,440,32.0,4.0,34.0
et-sote,Et Sote,1 porsiyon,280,360,30.0,14.0,20.0
mantarli-tavuk,Mantarlı Tavuk,1 porsiyon,280,290,28.0,10.0,15.0
tavuk-kavurma,Tavuk Kavurma,1 porsiyon,250,320,30.0,6.0,20.0
kofteli-nohut,Köfteli Nohut,1 porsiyon,300,340,20.0,32.0,14.0
ciger-tava,Ciğer Tava,1 porsiyon,200,320,26.0,12.0,18.0
etli-kuru-fasulye-firin,Etli Kuru Fasulye Fırın,1 porsiyon,300,350,20.0,36.0,14.0
kagit-kebabi,Kağıt Kebabı,1 porsiyon,300,360,26.0,16.0,22.0
zeytinyagli-fasulye,Zeytinyağlı Fasulye,1 porsiyon,250,180,6.0,20.0,9.0
imam-bayildi,İmam Bayıldı,1 adet,220,230,4.0,18.0,16.0
zeytinyagli-taze-fasulye,Zeytinyağlı Taze Fasulye,1 porsiyon,250,170,5.0,18.0,9.0
zeytinyagli-kabak,Zeytinyağlı Kabak,1 porsiyon,250,150,4.0,16.0,8.0
zeytinyagli-biber-dolma,Zeytinyağlı Biber Dolma,2 adet,220,240,5.0,30.0,11.0
zeytinyagli-yaprak-sarma,Zeytinyağlı Yaprak Sarma,4 adet,200,260,5.0,32.0,12.0
mucver,Mücver,2 adet,150,240,8.0,18.0,15.0
menemen,Menemen,1 porsiyon,250,220,11.0,12.0,15.0
ispanak-yemegi,Ispanak Yemeği,1 porsiyon,250,140,6.0,14.0,7.0
pirasa-yemegi,Pırasa Yemeği,1 porsiyon,250,150,4.0,18.0,7.0
kereviz-yemegi,Kereviz Yemeği,1 porsiyon,250,130,3.0,16.0,7.0
zeytinyagli-enginar,Zeytinyağlı Enginar,1 adet,200,160,4.0,18.0,8.0
zeytinyagli-barbunya,Zeytinyağlı Barbunya,1 porsiyon,250,200,9.0,26.0,7.0
zeytinyagli-nohut,Zeytinyağlı Nohut,1 porsiyon,250,220,10.0,28.0,8.0
sebzeli-guvec,Sebzeli Güveç,1 porsiyon,300,180,5.0,22.0,8.0
zeytinyagli-pazi,Zeytinyağlı Pazı,1 porsiyon,250,140,5.0,14.0,7.0
zeytinyagli-bakla,Zeytinyağlı Bakla,1 porsiyon,250,170,7.0,20.0,7.0
firin-sebze,Fırın Sebze,1 porsiyon,300,200,6.0,24.0,9.0
patlican-musakka,Patlıcan Musakka Etsiz,1 porsiyon,280,220,6.0,20.0,13.0
kabak-kizartma,Kabak Kızartma,1 porsiyon,200,190,4.0,16.0,12.0
patlican-kizartma,Patlıcan Kızartma,1 porsiyon,200,210,3.0,18.0,14.0
sebzeli-bulgur,Sebzeli Bulgur,1 porsiyon,250,240,6.0,42.0,5.0
zeytinyagli-semizotu,Zeytinyağlı Semizotu,1 porsiyon,250,130,4.0,12.0,7.0
firin-karnabahar,Fırın Karnabahar,1 porsiyon,250,150,7.0,14.0,7.0
pirinc-pilavi,Pirinç Pilavı,1 porsiyon,180,290,5.0,52.0,7.0
bulgur-pilavi,Bulgur Pilavı,1 porsiyon,180,250,7.0,45.0,5.0
nohutlu-pilav,Nohutlu Pilav,1 porsiyon,200,320,9.0,55.0,8.0
ic-pilav,İç Pilav,1 porsiyon,200,340,7.0,52.0,11.0
sehriyeli-pilav,Şehriyeli Pilav,1 porsiyon,180,300,6.0,53.0,7.0
spagetti-domatesli,Spagetti Domates Soslu,1 porsiyon,300,380,12.0,68.0,7.0
firin-makarna,Fırın Makarna,1 porsiyon,300,450,18.0,55.0,18.0
mantı,Mantı,1 porsiyon,250,420,16.0,55.0,15.0
eriste,Erişte,1 porsiyon,250,360,11.0,58.0,9.0
kuskus-pilavi,Kuskus Pilavı,1 porsiyon,200,280,8.0,50.0,5.0
bulgurlu-kofte-pilav,Bulgurlu Köfteli Pilav,1 porsiyon,250,360,14.0,52.0,10.0
peynirli-makarna,Peynirli Makarna,1 porsiyon,300,420,16.0,58.0,14.0
domatesli-makarna,Domatesli Makarna,1 porsiyon,300,360,11.0,66.0,6.0
tavuklu-pilav,Tavuklu Pilav,1 porsiyon,250,400,20.0,52.0,12.0
sebzeli-makarna,Sebzeli Makarna,1 porsiyon,300,340,10.0,62.0,6.0
firin-mantı,Fırın Mantı,1 porsiyon,250,440,17.0,54.0,17.0
beyaz-peynir,Beyaz Peynir,1 dilim,30,80,5.0,1.0,6.5
kasar-peyniri,Kaşar Peyniri,1 dilim,30,110,7.0,0.5,9.0
tulum-peyniri,Tulum Peyniri,1 porsiyon,30,105,6.5,0.8,8.5
lor-peyniri,Lor Peyniri,1 porsiyon,50,70,8.0,2.0,3.5
cokelek,Çökelek,1 porsiyon,50,75,9.0,2.0,3.5
sucuk,Sucuk,3 dilim,40,150,8.0,1.0,13.0
pastirma,Pastırma,3 dilim,30,90,14.0,1.0,3.5
siyah-zeytin,Siyah Zeytin,7 adet,35,55,0.5,1.5,5.5
yesil-zeytin,Yeşil Zeytin,7 adet,35,50,0.5,1.5,5.0
tereyagi,Tereyağı,1 yemek kaşığı,15,110,0.1,0.1,12.0
bal,Bal,1 yemek kaşığı,20,60,0.1,16.0,0.0
recel,Reçel,1 yemek kaşığı,20,52,0.1,13.0,0.0
tahin,Tahin,1 yemek kaşığı,15,90,2.5,3.0,8.0
pekmez,Pekmez,1 yemek kaşığı,20,58,0.5,14.0,0.0
tahin-pekmez,Tahin Pekmez,1 yemek kaşığı,20,110,2.0,10.0,7.0
haslanmis-yumurta,Haşlanmış Yumurta,1 adet,50,72,6.3,0.4,5.0
omlet,Omlet,2 yumurta,120,220,14.0,2.0,17.0
sahanda-yumurta,Sahanda Yumurta,2 adet,110,240,13.0,1.0,20.0
sucuklu-yumurta,Sucuklu Yumurta,1 porsiyon,150,320,18.0,2.0,26.0
menemen-kahvalti,Menemen Kahvaltı,1 porsiyon,200,190,10.0,10.0,13.0
simit,Simit,1 adet,100,270,8.0,50.0,4.0
pogaca,Poğaça,1 adet,70,240,5.0,26.0,13.0
acma,Açma,1 adet,80,260,6.0,32.0,12.0
kaymak,Kaymak,1 yemek kaşığı,20,130,1.0,1.0,14.0
kremali-peynir,Kremalı Peynir,1 yemek kaşığı,20,70,1.5,1.0,6.5
labne-kahvalti,Labne,1 yemek kaşığı,20,55,1.5,1.5,5.0
sade-omlet,Sade Omlet,1 yumurta,60,110,7.0,1.0,9.0
peynirli-omlet,Peynirli Omlet,2 yumurta,150,300,20.0,2.0,24.0
domatesli-yumurta,Domatesli Yumurta,2 yumurta,150,230,13.0,4.0,18.0
zeytin-ezmesi,Zeytin Ezmesi,1 yemek kaşığı,15,65,0.5,1.0,6.5
kayseri-pastirma,Kayseri Pastırması,4 dilim,40,120,18.0,1.0,5.0
findik-ezmesi,Fındık Ezmesi,1 yemek kaşığı,20,120,2.5,7.0,9.0
antep-ezmesi,Antep Fıstık Ezmesi,1 yemek kaşığı,20,125,3.0,6.0,10.0
kavut,Kavut,1 yemek kaşığı,20,80,2.0,14.0,2.0
sut-recel,Süt Reçeli,1 yemek kaşığı,20,70,1.0,12.0,2.0
beyaz-ekmek,Beyaz Ekmek,1 dilim,30,80,2.5,15.0,0.5
tam-bugday-ekmek,Tam Buğday Ekmek,1 dilim,30,75,3.0,13.0,1.0
lavas,Lavaş,1 adet,60,160,5.0,32.0,1.0
pide-ekmek,Pide Ekmeği,1 dilim,50,135,4.5,26.0,1.0
ramazan-pidesi,Ramazan Pidesi,1 dilim,60,160,5.0,31.0,1.5
bazlama,Bazlama,1 adet,80,220,6.0,42.0,3.0
yufka,Yufka,1 adet,50,160,5.0,32.0,1.0
galeta,Galeta,2 adet,30,120,3.5,22.0,2.0
kraker,Kraker,5 adet,30,140,3.0,20.0,5.5
grissini,Grissini,4 adet,25,100,3.0,18.0,2.0
cavdar-ekmek,Çavdar Ekmeği,1 dilim,30,70,2.5,13.0,0.8
kepekli-ekmek,Kepekli Ekmek,1 dilim,30,72,3.0,13.0,0.8
misir-ekmegi,Mısır Ekmeği,1 dilim,40,110,2.5,20.0,2.0
kandil-simidi,Kandil Simidi,2 adet,30,140,3.0,20.0,5.0
gevrek-ekmek,Gevrek Ekmek,1 dilim,25,65,2.0,12.0,0.5
tost-ekmegi,Tost Ekmeği,1 dilim,25,70,2.3,13.0,0.6
tavuk-gogsu-izgara,Tavuk Göğsü Izgara,1 porsiyon,150,240,45.0,0.0,5.5
tavuk-but-haslanmis,Tavuk But Haşlanmış,1 porsiyon,150,290,38.0,0.0,15.0
dana-biftek,Dana Biftek,1 porsiyon,150,330,42.0,0.0,17.0
kuzu-pirzola,Kuzu Pirzola,2 adet,150,420,36.0,0.0,30.0
kiyma-izgara,Izgara Köfte Kıyma,1 porsiyon,150,360,30.0,0.0,26.0
hindi-fileto,Hindi Fileto Izgara,1 porsiyon,150,220,44.0,0.0,4.5
somon-izgara,Somon Izgara,1 porsiyon,150,310,34.0,0.0,19.0
levrek-izgara,Levrek Izgara,1 porsiyon,150,180,36.0,0.0,3.5
cipura-izgara,Çipura Izgara,1 porsiyon,150,195,35.0,0.0,5.5
hamsi-tava,Hamsi Tava,1 porsiyon,150,330,24.0,10.0,22.0
alabalik-izgara,Alabalık Izgara,1 porsiyon,150,210,30.0,0.0,10.0
ton-baligi-konserve,Ton Balığı Konserve,1 kutu,80,110,20.0,0.0,3.0
sardalya,Sardalya Izgara,1 porsiyon,150,290,30.0,0.0,19.0
tavuk-kanat-izgara,Tavuk Kanat Izgara,4 adet,150,350,28.0,0.0,26.0
dana-antrikot,Dana Antrikot,1 porsiyon,150,360,38.0,0.0,23.0
kuzu-sis,Kuzu Şiş,1 porsiyon,150,380,34.0,0.0,27.0
tavuk-fileto-firin,Tavuk Fileto Fırın,1 porsiyon,150,230,44.0,1.0,5.0
palamut-firin,Palamut Fırın,1 porsiyon,150,270,32.0,0.0,15.0
mezgit-tava,Mezgit Tava,1 porsiyon,150,250,26.0,12.0,11.0
istavrit-firin,İstavrit Fırın,1 porsiyon,150,220,28.0,0.0,12.0
dil-baligi,Dil Balığı Izgara,1 porsiyon,150,180,33.0,0.0,5.0
kalkan-izgara,Kalkan Izgara,1 porsiyon,150,200,34.0,0.0,6.5
dana-kusbasi,Dana Kuşbaşı Pişmiş,1 porsiyon,150,320,36.0,0.0,19.0
tavuk-nugget,Tavuk Nugget,6 adet,120,300,15.0,20.0,18.0
hindi-fume,Hindi Füme,3 dilim,40,55,10.0,1.0,1.5
midye-dolma,Midye Dolma,5 adet,150,220,7.0,32.0,7.0
karides-izgara,Karides Izgara,1 porsiyon,120,120,24.0,1.0,2.0
sut-tam-yagli,Süt Tam Yağlı,1 bardak,200,130,6.6,9.6,7.2
sut-yarim-yagli,Süt Yarım Yağlı,1 bardak,200,96,6.8,9.6,3.2
yogurt-tam-yagli,Yoğurt Tam Yağlı,1 kase,200,120,8.0,10.0,6.0
yogurt-light,Yoğurt Light,1 kase,200,90,10.0,12.0,0.5
ayran,Ayran,1 bardak,200,80,5.0,7.0,3.5
kefir,Kefir,1 bardak,200,110,7.0,9.0,5.0
krema,Krema,1 yemek kaşığı,15,45,0.4,0.5,4.5
suzme-yogurt,Süzme Yoğurt,1 kase,150,140,11.0,7.0,7.5
yogurt-yagsiz,Yoğurt Yağsız,1 kase,200,75,11.0,8.0,0.2
sutlu-kahve,Sütlü Kahve,1 fincan,150,60,3.0,6.0,2.5
comlek-yogurt,Çömlek Yoğurdu,1 kase,200,130,7.5,9.0,7.0
keci-sutu,Keçi Sütü,1 bardak,200,140,7.5,9.0,8.0
suzme-peynir-yogurt,Süzme Peynir Yoğurt Karışık,1 kase,150,130,12.0,6.0,6.5
probiyotik-yogurt,Probiyotik Yoğurt,1 kase,150,100,7.0,9.0,4.0
tam-yagli-yogurt-ballı,Ballı Yoğurt,1 kase,200,180,7.0,26.0,5.0
elma,Elma,1 orta boy,180,95,0.5,25.0,0.3
muz,Muz,1 orta boy,120,105,1.3,27.0,0.4
portakal,Portakal,1 orta boy,150,70,1.3,18.0,0.2
mandalina,Mandalina,1 adet,90,45,0.7,11.0,0.2
uzum,Üzüm,1 porsiyon,150,105,1.0,27.0,0.3
karpuz,Karpuz,1 dilim,300,90,1.8,23.0,0.4
kavun,Kavun,1 dilim,250,85,1.5,20.0,0.3
cilek,Çilek,1 kase,150,50,1.0,12.0,0.4
kiraz,Kiraz,1 kase,150,90,1.5,22.0,0.3
visne,Vişne,1 kase,150,75,1.2,18.0,0.3
seftali,Şeftali,1 adet,150,60,1.4,15.0,0.4
kayisi,Kayısı,3 adet,120,58,1.4,14.0,0.4
erik,Erik,3 adet,150,70,1.0,17.0,0.3
taze-incir,Taze İncir,2 adet,100,74,0.8,19.0,0.3
kuru-incir,Kuru İncir,3 adet,60,150,2.0,38.0,0.6
nar,Nar,1 adet,180,125,2.5,30.0,1.5
armut,Armut,1 orta boy,180,100,0.6,27.0,0.2
ananas,Ananas,1 dilim,120,60,0.7,16.0,0.1
kivi,Kivi,1 adet,75,45,0.8,11.0,0.4
hurma,Hurma,3 adet,60,160,1.0,42.0,0.2
kuru-uzum,Kuru Üzüm,1 yemek kaşığı,30,90,1.0,23.0,0.1
kuru-kayisi,Kuru Kayısı,5 adet,50,120,1.5,31.0,0.3
avokado,Avokado,1 adet,150,240,3.0,12.0,22.0
greyfurt,Greyfurt,1 adet,200,80,1.5,20.0,0.3
mango,Mango,1 adet,200,135,1.8,33.0,0.6
frenk-uzumu,Frenk Üzümü,1 kase,100,56,1.4,14.0,0.4
bogurtlen,Böğürtlen,1 kase,150,65,2.0,15.0,0.7
ahududu,Ahududu,1 kase,150,80,1.8,18.0,0.9
yaban-mersini,Yaban Mersini,1 kase,150,85,1.0,21.0,0.5
dut,Dut,1 kase,150,65,2.0,14.0,0.5
kuru-erik,Kuru Erik,4 adet,50,120,1.0,32.0,0.2
ayva,Ayva,1 adet,200,110,0.8,28.0,0.2
domates,Domates,1 orta boy,120,22,1.1,4.8,0.2
salatalik,Salatalık,1 adet,150,24,1.0,5.0,0.2
marul,Marul,1 porsiyon,100,15,1.4,2.9,0.2
roka,Roka,1 porsiyon,50,12,1.3,1.8,0.3
maydanoz,Maydanoz,1 demet,50,18,1.5,3.0,0.4
yesil-biber,Yeşil Biber,2 adet,100,25,1.0,5.0,0.3
havuc,Havuç,1 adet,80,33,0.7,8.0,0.2
turp,Turp,1 porsiyon,100,16,0.7,3.4,0.1
kuru-sogan,Kuru Soğan,1 adet,100,40,1.1,9.0,0.1
haslanmis-patates,Haşlanmış Patates,1 orta boy,150,130,2.8,30.0,0.2
firin-patates,Fırın Patates,1 orta boy,180,160,3.5,37.0,0.3
patates-kizartma,Patates Kızartması,1 porsiyon,150,430,5.0,50.0,23.0
mevsim-salata,Mevsim Salata,1 porsiyon,200,90,2.5,12.0,4.5
coban-salata,Çoban Salata,1 porsiyon,200,110,2.5,10.0,7.0
mercimek-salata,Mercimek Salata,1 porsiyon,200,180,10.0,26.0,5.0
patates-salata,Patates Salatası,1 porsiyon,200,220,4.0,32.0,9.0
yesil-salata,Yeşil Salata,1 porsiyon,150,60,2.0,7.0,3.0
kisir,Kısır,1 porsiyon,150,240,6.0,40.0,7.0
rus-salatasi,Rus Salatası,1 porsiyon,150,260,3.5,22.0,18.0
haydari,Haydari,1 porsiyon,100,130,5.0,6.0,10.0
acili-ezme,Acılı Ezme,1 porsiyon,100,70,1.5,8.0,4.0
piyaz,Piyaz,1 porsiyon,200,220,10.0,28.0,8.0
turşu,Turşu,1 porsiyon,100,20,1.0,4.0,0.2
kırmızı-lahana-salata,Kırmızı Lahana Salatası,1 porsiyon,150,60,1.5,10.0,2.0
brokoli-haslanmis,Brokoli Haşlanmış,1 porsiyon,150,50,4.0,8.0,0.6
findik,Fındık,1 avuç,30,190,4.5,5.0,18.0
ceviz,Ceviz,1 avuç,30,196,4.5,4.0,19.5
badem,Badem,1 avuç,30,174,6.0,6.0,15.0
antep-fistigi,Antep Fıstığı,1 avuç,30,170,6.0,8.0,14.0
yer-fistigi,Yer Fıstığı,1 avuç,30,170,7.0,5.0,14.0
kaju,Kaju,1 avuç,30,165,5.0,9.0,13.0
leblebi,Leblebi,1 avuç,30,110,7.0,18.0,2.0
ay-cekirdegi,Ay Çekirdeği,1 avuç,30,170,6.0,6.0,14.0
kabak-cekirdegi,Kabak Çekirdeği,1 avuç,30,160,9.0,4.0,13.0
kuru-hindistan-cevizi,Kuru Hindistan Cevizi,1 yemek kaşığı,15,100,1.0,3.5,9.5
findik-fistik-karisik,Karışık Kuruyemiş,1 avuç,30,180,5.0,7.0,15.0
susam,Susam,1 yemek kaşığı,15,90,3.0,3.5,7.5
chia-tohumu,Chia Tohumu,1 yemek kaşığı,15,73,2.5,6.0,4.5
keten-tohumu,Keten Tohumu,1 yemek kaşığı,15,80,2.8,4.5,6.0
cam-fistigi,Çam Fıstığı,1 yemek kaşığı,15,100,2.0,2.0,10.0
baklava,Baklava,1 dilim,100,430,6.0,50.0,24.0
kunefe,Künefe,1 porsiyon,150,540,10.0,60.0,28.0
sutlac,Sütlaç,1 kase,200,240,6.0,42.0,5.0
kazandibi,Kazandibi,1 porsiyon,150,230,5.0,40.0,5.5
revani,Revani,1 dilim,120,360,4.0,58.0,12.0
sekerpare,Şekerpare,2 adet,100,340,4.0,52.0,13.0
lokma,Lokma,1 porsiyon,120,380,4.0,55.0,16.0
tulumba,Tulumba Tatlısı,4 adet,120,400,3.5,58.0,17.0
kadayif,Tel Kadayıf,1 porsiyon,120,420,5.0,54.0,20.0
asure,Aşure,1 kase,200,280,5.0,58.0,4.0
muhallebi,Muhallebi,1 kase,150,200,5.0,34.0,5.0
dondurma,Dondurma,2 top,100,200,3.5,24.0,10.0
profiterol,Profiterol,1 porsiyon,120,340,6.0,38.0,18.0
kek-dilimi,Kek Dilimi,1 dilim,80,290,4.0,38.0,14.0
brownie,Brownie,1 adet,80,360,4.5,42.0,20.0
magnolia,Magnolia,1 kase,150,320,5.0,42.0,15.0
trilece,Trileçe,1 dilim,120,340,6.0,44.0,15.0
tahin-helvasi,Tahin Helvası,1 dilim,50,270,6.0,25.0,16.0
irmik-helvasi,İrmik Helvası,1 porsiyon,120,330,4.0,50.0,13.0
lokum,Lokum,3 adet,45,140,0.3,35.0,0.1
kabak-tatlisi,Kabak Tatlısı,1 porsiyon,150,220,2.5,44.0,4.0
ayva-tatlisi,Ayva Tatlısı,1 porsiyon,150,210,1.5,50.0,1.0
incir-tatlisi,İncir Tatlısı,2 adet,120,260,4.0,48.0,6.0
supangle,Supangle,1 kase,150,280,6.0,40.0,10.0
cheesecake,Cheesecake,1 dilim,120,380,7.0,34.0,24.0
tiramisu,Tiramisu,1 porsiyon,120,350,6.0,38.0,19.0
firin-sutlac,Fırın Sütlaç,1 kase,200,270,7.0,44.0,6.0
cay-sekersiz,Çay Şekersiz,1 bardak,200,2,0.0,0.5,0.0
cay-sekerli,Çay Şekerli,1 bardak,200,40,0.0,10.0,0.0
turk-kahvesi-sade,Türk Kahvesi Sade,1 fincan,60,5,0.2,1.0,0.0
turk-kahvesi-sekerli,Türk Kahvesi Şekerli,1 fincan,60,45,0.2,11.0,0.0
filtre-kahve,Filtre Kahve,1 fincan,200,5,0.3,1.0,0.0
latte,Latte,1 bardak,300,150,8.0,14.0,7.0
cappuccino,Cappuccino,1 fincan,180,90,5.0,9.0,4.0
portakal-suyu,Portakal Suyu,1 bardak,200,90,1.4,21.0,0.3
visne-suyu,Vişne Suyu,1 bardak,200,110,0.5,27.0,0.1
kola,Kola,1 kutu,330,140,0.0,35.0,0.0
salgam,Şalgam Suyu,1 bardak,200,20,0.5,4.0,0.0
limonata,Limonata,1 bardak,250,110,0.3,28.0,0.1
soda,Soda,1 şişe,200,0,0.0,0.0,0.0
enerji-icecegi,Enerji İçeceği,1 kutu,250,115,0.0,28.0,0.0
maden-suyu,Maden Suyu,1 şişe,200,0,0.0,0.0,0.0
sicak-cikolata,Sıcak Çikolata,1 bardak,250,220,7.0,32.0,7.0
sahlep,Sahlep,1 bardak,250,200,5.0,34.0,5.0
hamburger,Hamburger,1 adet,220,510,25.0,42.0,26.0
cheeseburger,Cheeseburger,1 adet,240,580,28.0,44.0,32.0
lahmacun,Lahmacun,1 adet,150,300,13.0,42.0,9.0
pizza-dilim,Pizza Dilimi,1 dilim,120,300,12.0,34.0,12.0
tost,Tost,1 adet,150,350,14.0,38.0,15.0
kasarli-tost,Kaşarlı Tost,1 adet,150,380,16.0,36.0,19.0
sucuklu-tost,Sucuklu Tost,1 adet,170,450,19.0,38.0,25.0
et-doner-durum,Et Döner Dürüm,1 adet,300,600,28.0,58.0,28.0
tavuk-durum,Tavuk Dürüm,1 adet,300,520,30.0,56.0,20.0
cig-kofte-durum,Çiğ Köfte Dürüm,1 adet,250,360,9.0,62.0,8.0
su-boregi,Su Böreği,1 dilim,150,360,12.0,38.0,18.0
kiymali-borek,Kıymalı Börek,1 dilim,150,380,14.0,36.0,20.0
peynirli-borek,Peynirli Börek,1 dilim,150,360,13.0,36.0,18.0
sigara-boregi,Sigara Böreği,4 adet,120,320,9.0,32.0,17.0
gozleme-peynirli,Gözleme Peynirli,1 adet,200,420,15.0,52.0,16.0
gozleme-kiymali,Gözleme Kıymalı,1 adet,200,450,18.0,50.0,19.0
patso,Patso,1 adet,250,550,15.0,60.0,27.0
kumpir,Kumpir,1 adet,350,650,18.0,75.0,30.0
midye-tava,Midye Tava,10 adet,150,340,14.0,32.0,17.0
kokorec,Kokoreç,1 porsiyon,150,420,22.0,20.0,28.0
tantuni,Tantuni,1 adet,250,480,26.0,48.0,20.0
islak-hamburger,Islak Hamburger,1 adet,150,340,12.0,34.0,18.0
pilav-ustu-tavuk,Pilav Üstü Tavuk,1 porsiyon,350,520,32.0,60.0,16.0
pilav-ustu-kuru,Pilav Üstü Kuru Fasulye,1 porsiyon,400,560,22.0,80.0,17.0
nohutlu-pilav-tavuk,Nohutlu Pilav Tavuklu,1 porsiyon,350,540,28.0,68.0,17.0
petibor-biskuvi,Petibör Bisküvi,5 adet,30,135,2.5,22.0,4.0
kremali-biskuvi,Kremalı Bisküvi,3 adet,35,170,2.0,24.0,7.5
cikolatali-biskuvi,Çikolatalı Bisküvi,3 adet,35,175,2.5,23.0,8.0
yulafli-biskuvi,Yulaflı Bisküvi,3 adet,36,160,3.0,24.0,6.0
gofret,Gofret,1 adet,40,210,2.5,26.0,11.0
cikolata-baton,Çikolata Baton,1 adet,50,250,3.5,30.0,13.0
patates-cipsi,Patates Cipsi,1 paket,50,270,3.0,27.0,17.0
misir-cipsi,Mısır Cipsi,1 paket,50,255,3.5,30.0,13.0
tuzlu-kraker,Tuzlu Kraker,6 adet,30,145,3.0,20.0,5.5
paket-kek,Paket Kek,1 adet,50,200,3.0,28.0,9.0
kuru-meyve-karisik,Kuru Meyve Karışımı,1 avuç,40,120,1.0,30.0,0.3
granola,Granola,1 porsiyon,50,220,5.0,32.0,8.0
misir-gevregi,Mısır Gevreği,1 kase,40,150,3.0,33.0,1.0
balli-badem-gevrek,Ballı Bademli Gevrek,1 kase,45,180,4.0,32.0,4.0
yulaf-ezmesi,Yulaf Ezmesi,1 porsiyon,50,190,6.5,32.0,3.5
protein-bar,Protein Bar,1 adet,60,230,20.0,22.0,7.0
kuruyemis-paketi,Kuruyemiş Paketi,1 paket,40,240,7.0,9.0,20.0
sutlu-cikolata,Sütlü Çikolata,1 kalıp,40,215,3.0,24.0,12.0
bitter-cikolata,Bitter Çikolata,1 kalıp,40,230,3.0,18.0,16.0
beyaz-cikolata,Beyaz Çikolata,1 kalıp,40,220,2.5,25.0,12.5
